pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,sy_dist,sy_disterr1,sy_disterr2,rowupdate
2MASS J22362452+4751425 b,1,1,Imaging,2016,,,,,230.000000,20.000000,-20.000000,0,,,,,,,,,3972.87500,476.74500,-476.74500,0,12.50000,1.50000,-1.50000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.5737000,0.1592000,-0.1585000,2016-11-09
4 UMa b,1,1,Radial Velocity,2006,269.30000000,1.96000000,-1.96000000,0,0.870000,0.040000,-0.040000,0,,,,,,,,,2256.50000,508.50000,-508.50000,0,7.10000,1.60000,-1.60000,0,,,,,0.432000,0.024000,-0.024000,0,,,,,,,,,215.550,7.100,-7.100,0,,,,,,,,,73.4603000,1.1860500,-1.1860500,2014-05-14
51 Peg b,1,1,Radial Velocity,1995,4.23100000,,,0,0.052000,,,0,,,,,,,,,146.20180,19.06980,-3.17830,0,0.46000,0.06000,-0.01000,0,,,,,0.000000,,,0,80.000,10.000,-19.000,0,,,,,55.200,,,0,,,,,,,,,15.4614000,0.0297000,-0.0297000,2015-08-26
51 Peg b,1,1,Radial Velocity,1995,4.23077000,0.00004000,-0.00004000,0,0.052000,,,0,,,,,,,,,148.73800,2.22500,-2.22500,0,0.46800,0.00700,-0.00700,0,,,,,0.000000,0.000000,0.000000,0,,,,,,,,,57.300,0.800,-0.800,0,,,,,,,,,15.4614000,0.0297000,-0.0297000,2014-08-21
51 Peg b,1,1,Radial Velocity,1995,4.23078500,0.00003600,-0.00003600,0,0.052700,0.003000,-0.003000,0,,,,,,,,,150.00900,12.39500,-12.39500,0,0.47200,0.03900,-0.03900,0,,,,,0.013000,0.012000,-0.012000,0,,,,,,,,,55.940,0.690,-0.690,0,,,,,,,,,15.4614000,0.0297000,-0.0297000,2014-05-14
51 Peg b,1,1,Radial Velocity,1995,4.22930000,0.00110000,-0.00110000,0,,,,,,,,,,,,,149.38010,6.35660,-6.35660,0,0.47000,0.02000,-0.02000,0,,,,,0.000000,,,0,,,,,,,,,59.000,3.000,-3.000,0,,,,,,,,,15.4614000,0.0297000,-0.0297000,2016-11-01
6 Lyn b,1,1,Radial Velocity,2008,934.30000000,8.60000000,-8.60000000,0,2.110000,0.110000,-0.110000,0,,,,,,,,,638.83830,24.47291,-24.47291,0,2.01000,0.07700,-0.07700,0,,,,,0.073000,0.036000,-0.036000,0,,,,,,,,,32.800,1.200,-1.200,0,,,,,,,,,54.6599000,0.2734000,-0.2734000,2018-12-03
6 Lyn b,1,1,Radial Velocity,2008,874.77400000,16.27000000,-8.47000000,0,2.180000,0.050000,-0.060000,0,,,,,,,,,702.40430,34.96130,-50.85280,0,2.21000,0.11000,-0.16000,0,,,,,0.125000,,,1,,,,,,,,,31.530,1.120,-1.320,0,,,,,,,,,54.6599000,0.2734000,-0.2734000,2018-12-03
6 Lyn b,1,1,Radial Velocity,2008,899.00000000,19.00000000,-19.00000000,0,2.200000,,,0,,,,,,,,,762.80000,,,0,2.40000,,,0,,,,,0.134000,0.052000,-0.052000,0,,,,,,,,,36.200,1.700,-1.700,0,,,,,,,,,54.6599000,0.2734000,-0.2734000,2018-12-03
70 Vir b,1,1,Radial Velocity,1996,116.68900000,0.01100000,-0.01100000,0,0.456000,,,0,,,,,,,,,2084.88000,12.71000,-12.71000,0,6.56000,0.04000,-0.04000,0,,,,,0.397000,0.005000,-0.005000,0,,,,,,,,,314.100,2.000,-2.000,0,,,,,,,,,17.9011000,0.0560000,-0.0557000,2018-12-03
