pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_bmasse,pl_bmassj,pl_dens,pl_orbeccen,sy_dist
GJ 9066 c,1,2,Radial Velocity,2020,71.60000,0.22528,0.393000,0.330000,4.4710000
GJ 96 b,1,1,Radial Velocity,2018,19.66000,0.06186,1.060000,0.440000,11.9315000
GJ 9827 b,1,3,Transit,2017,4.91000,0.01545,6.930000,0.000000,29.6610000
GJ 9827 c,1,3,Transit,2017,0.84000,0.00264,2.420000,0.000000,29.6610000
GJ 9827 d,1,3,Transit,2017,4.04000,0.01271,2.690000,0.000000,29.6610000
GQ Lup b,1,1,Imaging,2004,6356.00000,20.00000,0.921000,,151.1690000
GSC 06214-00210 b,1,1,Imaging,2010,5000.00000,16.00000,3.350000,,108.5000000
GU Psc b,1,1,Imaging,2014,3591.30000,11.30000,6.920000,,47.5501000
Gl 378 b,1,1,Radial Velocity,2019,13.02000,0.04097,1.460000,0.109000,14.9545000
Gl 686 b,1,1,Radial Velocity,2018,6.62400,0.02084,2.450000,0.050000,8.1572800
HAT-P-11 b,1,2,Transit,2008,26.69772,0.08400,1.680000,0.218000,37.7647000
HAT-P-11 c,1,2,Radial Velocity,2018,731.00900,2.30000,1.710000,0.601000,37.7647000
HAT-P-12 b,1,1,Transit,2009,67.05900,0.21100,0.319200,0.000000,142.7510000
HAT-P-13 b,1,2,Transit,2009,270.46200,0.85100,0.362000,0.013300,246.8100000
HAT-P-13 c,1,2,Radial Velocity,2009,4538.42100,14.28000,13.400000,0.661600,246.8100000
HAT-P-15 b,1,1,Transit,2010,616.59020,1.94000,1.960000,0.190000,192.5160000
HAT-P-17 b,1,2,Transit,2010,184.34140,0.58000,0.640000,0.350000,92.3831000
HAT-P-17 c,1,2,Radial Velocity,2010,1080.60000,3.40000,2.640000,0.390000,92.3831000
HAT-P-18 b,1,1,Transit,2010,62.61000,0.19700,0.250000,0.084000,161.4000000
HAT-P-19 b,1,1,Transit,2010,92.80200,0.29200,0.250000,0.067000,202.0780000
HAT-P-2 b,1,1,Transit,2007,2765.12100,8.70000,7.290000,0.517200,127.7740000
HAT-P-20 b,1,1,Transit,2010,2302.89900,7.24600,13.780000,0.015000,71.0374000
HAT-P-21 b,1,1,Transit,2010,1547.83210,4.87000,4.600000,0.230000,277.2780000
HAT-P-23 b,1,1,Transit,2010,425.89220,1.34000,1.406000,0.110000,364.8130000
HAT-P-25 b,1,1,Transit,2010,180.84527,0.56900,0.483000,0.023000,300.3840000
HAT-P-26 b,1,1,Transit,2010,22.24810,0.07000,0.400000,0.120000,141.8370000
HAT-P-28 b,1,1,Transit,2011,198.95300,0.62600,0.440000,0.051000,401.3190000
HAT-P-31 b,1,1,Transit,2011,721.47410,2.27000,2.180000,0.250000,344.0500000
HAT-P-34 b,1,1,Transit,2011,1058.37390,3.33000,2.500000,0.432000,249.3250000
HAT-P-36 b,1,1,Transit,2011,587.41341,1.84820,1.175000,0.063000,294.4190000
HAT-P-37 b,1,1,Transit,2011,371.52800,1.16900,0.890000,0.058000,390.5940000
HAT-P-38 b,1,1,Transit,2012,84.85700,0.26700,0.590000,0.067000,255.2060000
HAT-P-40 b,1,1,Transit,2012,152.55840,0.48000,0.150000,0.000000,464.4690000
HAT-P-42 b,1,1,Transit,2012,331.80100,1.04400,0.610000,0.000000,405.2380000
HAT-P-43 b,1,1,Transit,2012,210.39500,0.66200,0.390000,0.000000,528.8250000
HAT-P-44 b,1,2,Transit,2014,111.87100,0.35200,0.230000,0.044000,347.8500000
HAT-P-44 c,1,2,Radial Velocity,2014,1271.30000,4.00000,3.180000,0.494000,347.8500000
HAT-P-45 b,1,1,Transit,2014,283.49200,0.89200,0.380000,0.049000,298.6400000
HAT-P-46 b,1,1,Transit,2014,156.68400,0.49300,0.280000,0.123000,290.7360000
HAT-P-49 b,1,1,Transit,2014,699.22600,2.20000,0.750000,0.000000,350.3510000
HAT-P-5 b,1,1,Transit,2007,311.47340,0.98000,0.642000,0.000000,303.3360000
HAT-P-50 b,1,1,Transit,2015,429.07050,1.35000,0.780000,0.115000,515.4580000
HAT-P-51 b,1,1,Transit,2015,98.20947,0.30900,0.178000,0.123000,440.0890000
